,bug_id,title,desc
0,10714,63,2293
1,12906,117,1460
2,14197,56,604
3,15899,51,370
4,17758,67,952
5,17894,53,436
6,18016,63,535
7,18268,66,1037
8,18335,57,675
9,18915,104,797
10,19458,52,667
11,19651,61,1993
12,19933,60,984
13,20249,54,907
14,2120,65,761
15,2181,52,2054
16,22360,101,1974
17,23267,68,532
18,2345,103,1730
19,24411,57,1313
20,24779,66,1262
21,2529,69,298
22,2694,57,957
23,2940,75,449
24,3970,93,854
25,6304,54,275
26,6656,57,789
27,7581,67,1303
28,7734,57,1668
29,7752,96,792
30,7785,36,1070
31,9039,47,1262
